"Daily Weather Observations for Canberra, Australian Capital Territory for October 2017",,,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Tuesday 11 September 2018   IDCJDW2801.201710,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Date,Minimum temperature (¡C),Maximum temperature (¡C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (¡C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (¡C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,01/10/17,-0.7,19.8,0,,,NNW,43,13:02,10.6,58,,WNW,9,1022.2,18.4,38,,NW,26,1018.6
,02/10/17,1.7,22.5,0,,,NW,31,12:58,10.4,73,,SE,7,1024.6,21.1,25,,W,19,1021.3
,03/10/17,4.5,25,0,,,NNW,37,13:02,10.8,95,8,N,9,1023.8,23.3,28,,NW,24,1019.7
,04/10/17,2.4,25.4,0,,,NNW,35,13:50,12.9,60,,SSE,9,1022.8,23.7,23,,NW,11,1018.7
,05/10/17,8.3,26.6,0,,,NW,50,12:39,13.5,83,7,SSE,9,1018.4,23.5,35,8,NW,31,1013.3
,06/10/17,11.1,21.5,0.2,,,S,48,13:07,12.2,63,8,NW,11,1014.9,19.8,32,,S,30,1015.8
,07/10/17,1.3,21.1,0.2,,,E,37,19:09,10.1,57,6,SSE,15,1023.4,19.4,37,2,E,13,1019.9
,08/10/17,5.2,20.1,0,,,NNW,33,12:34,12.6,72,3,E,9,1018.9,18.2,56,8,NW,17,1015.6
,09/10/17,12.2,25.4,12.8,,,NW,56,14:18,16.3,88,8,NNE,11,1011.6,22.6,44,8,WNW,35,1008.9
,10/10/17,4.5,22.7,0,,,NNW,28,11:52,11.6,84,7,SW,9,1017.6,22.3,29,,NNW,17,1015.1
,11/10/17,10.8,25.6,0,,,NNW,50,22:48,16,78,5,WNW,6,1016.6,24.6,23,,NNW,20,1011.2
,12/10/17,12.3,20.6,3.8,,,NW,61,01:43,14.6,57,,WNW,28,1011.2,18.8,35,,WNW,35,1012.4
,13/10/17,2.8,21.3,0,,,N,37,13:22,12.2,61,,NW,7,1018.4,20.3,41,,NNW,24,1015.7
,14/10/17,10.8,17.9,0,,,NE,31,17:11,13.3,72,8,ESE,17,1023.4,16.6,58,8,ENE,15,1022.4
,15/10/17,6.7,24.7,0,,,E,31,18:35,12.1,77,8,N,9,1026,22.4,32,,NW,9,1022.8
,16/10/17,6.1,25.2,0,,,ENE,33,10:49,14.1,75,,ESE,11,1028.4,24.2,28,,NE,13,1024.9
