# Sample size (cm^3)     Sample mass (g)
63.1                         60.6
60.9                         71.1
73.8                         78.2
60.8                         51.0
76.6                         84.1
67.3                         65.3
62.1                         64.5
61.8                         50.0
70.7                         76.6
63.3                         69.7
71.8                         66.2
79.9                         86.8
61.6                         56.4
78.6                         79.7
72.1                         77.6
78.0                         78.3
63.4                         69.1
74.1                         76.3
64.4                         67.5
62.6                         54.7
