"Search criteria: located_in_australia='Y' AND preferred_magnitude>=0 AND preferred_magnitude<=9.94 AND origin_time BETWEEN 1950-06-23T21:11:00Z AND 2023-06-23T21:11:00Z AND INTERSECTS(geometry, POLYGON((-38.076015928466 145.6471411440952, -38.076015928466 147.70727387019855, -36.8285706077746 147.70727387019855, -36.8285706077746 145.6471411440952, -38.076015928466 145.6471411440952))) "

FID,earthquake_id,azimuthal_gap,azimuth_horizontal_uncertainty,depth,depth_uncertainty,description,epicentral_time,evaluation_mode,evaluation_status,event_creation_time,event_id,event_modification_time,latitude,longitude,mb,md,ml,ms,mw,mww,mwp,mwmwp,minimum_distance,maximum_distance,nearest_station,origin_id,origin_time,origin_time_uncertainty,phase_count,preferred_magnitude,preferred_magnitude_type,max_horizontal_uncertainty,min_horizontal_uncertainty,source,standard_error,station_count
earthquakes.fid-5cb1ff82_188e7f1302d_-6862,680456,187.7498932,167.425415,7.5468955,4.25798512,"N of Rawson, VIC",2022-03-31T07:37:37.702,manual,reviewed,2022-03-30T22:37:19.693,ga2022ghcxyr,2022-03-31T00:18:18.041,-37.55036545,146.3628235,,,2.01343141,,,,,,0.6934526,3.07716274,0.6934525967,20220331001534.414768.100027,2022-03-30T20:37:37.702,0.68812507,13,2.01343141,ML,25.2600193,4.3499999,GA,0.8123464,8
earthquakes.fid-5cb1ff82_188e7f1302d_-6861,680197,92.24886322,146.8712616,10,0,"E of Alexandra, VIC",2022-03-12T04:17:27.901,manual,reviewed,2022-03-11T17:18:37.21,ga2022exzmsw,2022-03-15T00:50:50.736,-37.19293213,145.8868256,,,2.82532457,,,,,,0.49228156,6.37642384,0.4922815561,20220315004247.121402.115346,2022-03-11T17:17:27.901,0.22685181,25,2.82532457,ML,5.85591793,3.13756585,GA,0.72656988,20
earthquakes.fid-5cb1ff82_188e7f1302d_-6860,678126,81.87548828,163.4556427,7.50786638,4.14436419,"N of Rawson, VIC",2021-10-23T14:33:21.506,manual,reviewed,2021-10-23T03:35:34.974,ga2021uvuhmu,2021-10-24T22:41:45.42,-37.53197479,146.3942108,,,2.66905372,,,,,,0.71924257,6.00801992,0.719242572800000035,20211024223749.691357.99453,2021-10-23T03:33:21.506,0.5209267,19,2.66905372,ML,7.77801943,4.13798761,GA,0.41679964,13
earthquakes.fid-5cb1ff82_188e7f1302d_-685f,677866,81.37567902,162.8309784,6.90878248,3.9051368,"N of Rawson, VIC",2021-10-05T07:17:46.053,manual,reviewed,2021-10-04T20:20:04.396,ga2021toeuhq,2021-10-05T00:49:48.716,-37.55249786,146.3369751,,,2.76991628,,,,,,0.67284876,6.87683487,0.672848761100000026,20211005004616.247617.123803,2021-10-04T20:17:46.053,0.48006256,25,2.76991628,ML,6.78671408,3.90726757,GA,0.61674131,17
earthquakes.fid-5cb1ff82_188e7f1302d_-685e,677816,132.2142773,136.02771,8.06536007,7.75769768,"N of Rawson, VIC",2021-09-29T18:21:59.121,manual,reviewed,2021-09-29T22:30:24.948,ga2021teclcc,2021-09-29T22:48:44.931,-37.38311768,146.2915649,,,2.34187578,,,,,,0.66435492,5.09945488,0.664354920399999993,20210929224655.02979.113442,2021-09-29T08:21:59.121,0.73641283,14,2.34187578,ML,11.15425873,8.1207962,GA,0.39318689,8
earthquakes.fid-5cb1ff82_188e7f1302d_-685d,677701,95.3735199,159.2837982,10,0,"Rawson, VIC",2021-09-22T13:18:26.186,manual,reviewed,2021-09-22T03:20:34.491,ga2021sqwhjz,2021-09-28T09:01:20.047,-37.59492493,146.3746185,,,2.93681041,,,,,,0.70269197,11.12725925,0.702691972300000023,20210928090020.143083.223578,2021-09-22T03:18:26.186,0.18797883,32,2.93681041,ML,3.75938559,2.91200399,GA,0.85252246,21
earthquakes.fid-5cb1ff82_188e7f1302d_-685c,677675,79.12797546,168.5594025,11.11868954,3.45057674,"N of Rawson, VIC",2021-09-22T09:33:38.777,manual,reviewed,2021-09-21T23:35:05.77,ga2021sqovqr,2021-09-22T02:20:38.663,-37.47331619,146.2875366,4.50141071,,4.07165844,,,,,,0.64115095,13.13976955,0.641150951400000002,20210922021301.606056.150554,2021-09-21T23:33:38.777,0.44416521,39,4.07165844,ML,4.85869551,3.127841,GA,0.81986157,32
earthquakes.fid-5cb1ff82_188e7f1302d_-685b,671314,70.87478638,5.35143805,2.39091539,1.81924682,"Rawson, VIC",2020-09-01T23:22:20.298,manual,reviewed,2020-09-01T14:29:56.585,ga2020rgxudq,2020-09-01T23:01:15.032,-37.87397385,146.4172974,,,2.76911562,,,,,,0.57110739,7.17525005,0.571107387500000008,20200901230012.881894.47906,2020-09-01T13:22:20.298,0.19241249,35,2.76911562,ML,3.46023655,2.43522763,GA,0.47093157,24
earthquakes.fid-5cb1ff82_188e7f1302d_-685a,657902,209.92,0.53,10,0,"N of Rawson, VIC.",,,FINL,2018-03-13T14:55:08,ga2018ewuguz,2018-03-13T15:24:40,-37.9029,146.4108,,,2.15,2.49,,,,,,,,1623947,2018-03-11T01:35:15,2.57,8,2.15,ML,49.2803,10.5661,AUST,0.6193,6
earthquakes.fid-5cb1ff82_188e7f1302d_-6859,657335,204.18,167.55,10,0,"N of Rawson, VIC.",,,FINL,2017-11-10T16:25:08,ga2017wckpzw,2017-11-10T16:33:43,-37.8314,146.3696,,,2.17,,,,,,,,,1560026,2017-11-09T22:09:12,1.83,11,2.17,ML,25.6636,9.0874,AUST,0.5223,8
